City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Garowe,SO,2021-11-01 01:06:40,8.4054,48.4845,71.98,73,87,9.4
124,Upernavik,GL,2021-11-01 01:06:41,72.7868,-56.1549,29.25,77,100,13.38
125,Waw,SS,2021-11-01 01:06:41,7.7029,27.9953,73.74,82,32,3.47
126,Portland,US,2021-11-01 01:05:34,45.5234,-122.6762,58.44,43,20,1.99
127,Quepos,CR,2021-11-01 01:06:43,9.4236,-84.1652,82.53,90,100,2.01
128,Yellowknife,CA,2021-11-01 01:06:43,62.456,-114.3525,32.56,99,16,13.0
129,Mandalgovi,MN,2021-11-01 01:06:44,45.7625,106.2708,33.82,49,100,13.85
130,Mizdah,LY,2021-11-01 01:06:45,31.4451,12.9801,66.52,35,8,11.34
131,College,US,2021-11-01 01:06:46,64.8569,-147.8028,51.46,49,75,4.61
132,Sao Jose Da Coroa Grande,BR,2021-11-01 01:07:46,-8.8978,-35.1478,77.02,83,29,8.41
133,Bandarbeyla,SO,2021-11-01 01:07:47,9.4942,50.8122,77.7,77,88,10.67
134,Evensk,RU,2021-11-01 01:07:48,61.95,159.2333,3.2,75,26,8.75
135,Tierralta,CO,2021-11-01 01:07:49,8.1736,-76.0592,75.42,91,37,3.13
136,Hobart,AU,2021-11-01 01:07:50,-42.8794,147.3294,64.02,55,75,5.99
137,Yulara,AU,2021-11-01 01:07:51,-25.2406,130.9889,78.93,44,0,7.85
138,Coyah,GN,2021-11-01 01:07:51,9.75,-13.4167,73.44,90,100,1.28
139,Dong Hoi,VN,2021-11-01 01:07:52,17.4833,106.6,77.32,88,73,4.43
140,Karratha,AU,2021-11-01 01:07:53,-20.7377,116.8463,77.56,53,6,9.69
141,Jamestown,US,2021-11-01 01:07:53,42.097,-79.2353,51.51,85,90,8.01
142,Broken Hill,AU,2021-11-01 01:07:54,-31.95,141.4333,74.73,17,63,13.15
143,Fort Walton Beach,US,2021-11-01 01:04:02,30.4058,-86.6188,64.42,79,1,0.0
144,Lardos,GR,2021-11-01 01:07:55,36.0942,28.0157,64.22,79,100,9.35
145,Dikson,RU,2021-11-01 01:07:56,73.5069,80.5464,5.72,94,97,11.14
146,Hamza,UZ,2021-11-01 01:07:57,40.4264,71.4956,43.25,63,7,1.16
147,Rach Gia,VN,2021-11-01 01:06:01,10.0167,105.0833,80.69,84,13,9.91
148,Aldan,RU,2021-11-01 01:07:58,58.6031,125.3894,23.68,87,94,4.74
149,Paamiut,GL,2021-11-01 01:07:59,61.994,-49.6678,31.53,72,99,8.14
150,Camacha,PT,2021-11-01 01:07:59,33.0833,-16.3333,69.22,88,40,9.22
151,Kailua,US,2021-11-01 01:08:00,21.4022,-157.7394,83.61,69,75,8.05
152,Ilulissat,GL,2021-11-01 01:08:01,69.2167,-51.1,32.02,93,75,14.97
153,Antofagasta,CL,2021-11-01 01:06:03,-23.65,-70.4,61.88,74,24,3.31
154,Tual,ID,2021-11-01 01:08:02,-5.6667,132.75,84.24,70,72,5.7
155,Makokou,GA,2021-11-01 01:08:03,0.5738,12.8642,69.31,99,100,2.73
156,Hambantota,LK,2021-11-01 01:08:04,6.1241,81.1185,75.54,100,40,0.0
157,Sao Joao Da Barra,BR,2021-11-01 01:04:19,-21.6403,-41.0511,70.9,94,100,19.24
158,Kahului,US,2021-11-01 01:03:07,20.8947,-156.47,85.26,66,40,10.36
159,Ancud,CL,2021-11-01 01:08:06,-41.8697,-73.8203,58.53,82,0,7.78
160,Srednekolymsk,RU,2021-11-01 01:03:22,67.45,153.6833,-4.79,96,35,5.12
161,Sabzevar,IR,2021-11-01 01:08:07,36.2126,57.6819,52.65,40,36,7.11
162,Huruta,ET,2021-11-01 01:08:08,8.15,39.35,53.31,88,32,6.42
163,Tonota,BW,2021-11-01 01:08:09,-21.4833,27.4833,67.46,66,0,10.49
164,Laguna,US,2021-11-01 01:03:11,38.421,-121.4238,66.06,63,1,1.01
165,Hovd,MN,2021-11-01 01:08:10,48.0056,91.6419,34.03,31,1,17.02
