City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
418,Roura,GF,84.11,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
419,Lorengau,PG,79.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
420,Bell Ville,AR,77.81,scattered clouds,-32.6259,-62.6887,Hotel Central
422,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
423,Inyonga,TZ,71.02,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
425,Waitati,NZ,57.0,broken clouds,-45.75,170.5667,Arden Country House BnB Dunedin
426,Constantine,DZ,60.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
427,Orel-Izumrud,RU,42.82,overcast clouds,43.4583,39.9244,Strana Magnoliy
428,Shakiso,ET,75.13,overcast clouds,5.75,38.9167,Bealu Girma Hottel
429,Quthing,LS,73.6,scattered clouds,-30.4,27.7003,Mountainside Hotel
430,Rorvik,NO,41.11,light rain,64.8621,11.2373,Kysthotellet Rørvik AS
431,Hasaki,JP,43.2,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
433,Dores Do Indaia,BR,84.63,clear sky,-19.4633,-45.6017,Hotel Central Dorense
434,Uvira,CD,82.53,broken clouds,-3.4067,29.1458,Hotel Suzana
435,Weligama,LK,78.19,few clouds,5.9667,80.4167,Weligama Bay Resort
436,Daru,PG,78.87,overcast clouds,-9.0763,143.2092,Daru Lodge
438,Iringa,TZ,67.32,light rain,-7.7667,35.7,M.R. Hotels ltd.
440,Manggar,ID,79.09,broken clouds,-2.8833,108.2667,Guest Hotel
441,Yoichi,JP,32.79,broken clouds,43.2039,140.7703,Marumatta Farm 21
442,Macapa,BR,84.18,broken clouds,0.0389,-51.0664,Atalanta Hotel
443,La Romana,DO,84.56,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
446,Mecca,SA,82.0,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
447,Sarkand,KZ,34.54,overcast clouds,45.41,79.9186,Гостиница Сарканд
448,Pointe Michel,DM,80.89,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
